nb,od,thickness,hub-x,hub-a,wn thk,rtj rf dia,rtj rf height,ring no,dist betwn flgs,pcd,no of bolts,bolt size unc,rtj sb len,hole size,iso sb size,wn kg,rtj pitch dia,rtj depth,rtj width,bolts wt rtj,weld flat,full hei,neck degree,rtj degree,sch
0+1/2,135,30.2,43,21.3,73,65.0,6.35,13,4,88.9,4 Holes,3/4'',120,7/8'' Dia,M20,3.19 kg,42.88,6.35,8.74,1.62 kg,1.6,80,37.5*,23*,16.48
0+3/4,140,31.8,51,26.7,79,73.0,6.35,16,4,95.2,4 Holes,3/4'',125,7/8'' Dia,M20,3.68 kg,50.8,6.35,8.74,1.66 kg,1.6,86,37.5*,23*,21.88
1,160,35.0,57,33.4,89,82.5,6.35,18,4,108.0,4 Holes,7/8'',140,1'' Dia,M24,5.27 kg,60.33,6.35,8.74,2.76 kg,1.6,96,37.5*,23*,27.6
1+1/4,185,38.1,73,42.2,95,102.0,7.92,21,3,130.2,4 Holes,1'',150,1+1/8'' Dia,M27,7.71 kg,72.23,7.92,11.91,3.91 kg,1.6,102,37.5*,23*,36.26
1+1/2,205,44.5,79,48.3,111,114.0,7.92,23,3,146.0,4 Holes,1+1/8'',170,1+1/4'' Dia,M30,10.99 kg,82.55,7.92,11.91,5.44 kg,1.6,118,37.5*,23*,41.94
2,235,50.9,95,60.3,127,133.0,7.92,26,3,171.4,8 Holes,1'',180,1+1/8'' Dia,M27,16.02 kg,101.6,7.92,11.91,8.74 kg,1.6,134,37.5*,23*,53.94
2+1/2,265,57.2,114,73.0,143,149.0,9.53,28,3,196.8,8 Holes,1+1/8'',205,1+1/4'' Dia,M30,23.22 kg,111.13,9.52,13.49,12.19 kg,1.6,150,37.5*,23*,63.44
3,305,66.7,133,88.9,168,168.0,9.53,32,3,228.6,8 Holes,1+1/4'',230,1+3/8'' Dia,M33,35.82 kg,127.0,9.52,13.49,16.32 kg,1.6,175,37.5*,23*,79.34
4,355,76.2,165,114.3,190,203.0,11.13,38,4,273.0,8 Holes,1+1/2'',260,1+5/8'' Dia,M39,54.25 kg,157.18,11.13,16.66,27.37 kg,1.6,197,37.5*,23*,104.74
8,550,127.0,305,219.1,318,340.0,14.27,51,5,438.2,12 Holes,2'',395,2+1/8'' Dia,M52,210.04 kg,279.4,14.27,23.01,108.27 kg,1.6,325,37.5*,23*,205.02
10,675,165.1,375,273.0,419,425.0,17.48,55,6,539.8,12 Holes,2+1/2'',510,2+5/8'' Dia,M64,406.95 kg,342.9,17.48,30.18,200.28 kg,1.6,426,37.5*,23*,257.4
12,760,184.2,441,323.8,464,495.0,17.48,60,8,619.1,12 Holes,2+3/4'',560,2+7/8'' Dia,M72,572.02 kg,406.4,17.48,33.32,276.71 kg,1.6,471,37.5*,23*,307.04
