nb,od,thickness,hub-x,thd thk,SO Bore,rf dia,rf height,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,so kg,bolts wt rf
0+1/2,120,22.3,38,32,22.2,34.9,7,82.6,4 Holes,3/4'',110,7/8'' Dia,M20,1.8 kg,1.54 kg
0+3/4,130,25.4,44,35,27.7,42.9,7,88.9,4 Holes,3/4'',115,7/8'' Dia,M20,2.3 kg,1.58 kg
1,150,28.6,52,41,34.5,50.8,7,101.6,4 Holes,7/8'',125,1'' Dia,M24,3.6 kg,2.58 kg
1+1/4,160,28.6,64,41,43.2,63.5,7,111.1,4 Holes,7/8'',125,1'' Dia,M24,4.1 kg,2.58 kg
1+1/2,180,31.8,70,44,49.5,73.0,7,123.8,4 Holes,1'',140,1+1/8'' Dia,M27,5.5 kg,3.75 kg
2,215,38.1,105,57,61.9,92.1,7,165.1,8 Holes,7/8'',145,1'' Dia,M24,11.5 kg,5.64 kg
2+1/2,245,41.3,124,64,74.6,104.8,7,190.5,8 Holes,1'',160,1+1/8'' Dia,M27,16.5 kg,8.12 kg
3,240,38.1,127,54,90.7,127.0,7,190.5,8 Holes,7/8'',145,1'' Dia,M24,12.0 kg,5.64 kg
3+1/2,240,38.1,127,54,90.7,127.0,7,190.5,8 Holes,7/8'',145,1'' Dia,M24,12.0 kg,5.64 kg
4,290,44.5,159,70,116.8,157.2,7,235.0,8 Holes,1+1/8'',170,1+1/4'' Dia,M30,24.0 kg,10.88 kg
5,350,50.8,190,79,143.8,185.7,7,279.4,8 Holes,1+1/4'',190,1+3/8'' Dia,M33,38.0 kg,14.48 kg
6,380,55.6,235,86,170.7,215.9,7,317.5,12 Holes,1+1/8'',190,1+1/4'' Dia,M30,50.0 kg,17.44 kg
8,470,63.5,298,102,221.5,269.9,7,393.7,12 Holes,1+3/8'',220,1+1/2'' Dia,M36,78.0 kg,30.22 kg
10,545,69.9,368,108,276.2,323.8,7,469.9,16 Holes,1+3/8'',235,1+1/2'' Dia,M36,112.0 kg,42.0 kg
12,610,79.4,419,117,327.0,381.0,7,533.4,20 Holes,1+3/8'',255,1+1/2'' Dia,M36,148.0 kg,55.32 kg
14,640,85.8,451,130,359.2,412.8,7,558.8,20 Holes,1+1/2'',275,1+5/8'' Dia,M39,182.0 kg,58.15 kg
16,705,88.9,508,133,410.5,469.9,7,616.0,20 Holes,1+5/8'',285,1+3/4'' Dia,M42,193.0 kg,72.61 kg
18,785,101.6,565,152,461.8,533.4,7,685.8,20 Holes,1+7/8'',325,2'' Dia,M48,258.0 kg,132.84 kg
20,855,108.0,622,159,513.1,584.2,7,749.3,20 Holes,2'',350,2+1/8'' Dia,M52,317.0 kg,166.6 kg
24,1040,139.7,749,203,616.0,692.2,7,901.7,20 Holes,2+1/2'',440,2+5/8'' Dia,M64,608.0 kg,345.48 kg
