nb,od,thickness,hub-x,hub-a,wn thk,rf dia,rf height,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,wn kg,bolts wt rf,weld flat,full hei,neck degree,sch
0+1/2,120,22.3,38,21.3,60,34.9,7,82.6,4 Holes,3/4'',110,7/8'' Dia,M20,1.86 kg,1.54 kg,1.6,67,37.5*,13.84
0+3/4,130,25.4,44,26.7,70,42.9,7,88.9,4 Holes,3/4'',115,7/8'' Dia,M20,2.55 kg,1.58 kg,1.6,77,37.5*,18.88
1,150,28.6,52,33.4,73,50.8,7,101.6,4 Holes,7/8'',125,1'' Dia,M24,3.79 kg,2.58 kg,1.6,80,37.5*,24.3
1+1/4,160,28.6,64,42.2,73,63.5,7,111.1,4 Holes,7/8'',125,1'' Dia,M24,4.4 kg,2.58 kg,1.6,80,37.5*,32.5
1+1/2,180,31.8,70,48.3,83,73.0,7,123.8,4 Holes,1'',140,1+1/8'' Dia,M27,6.16 kg,3.75 kg,1.6,90,37.5*,38.14
2,215,38.1,105,60.3,102,92.1,7,165.1,8 Holes,7/8'',145,1'' Dia,M24,10.87 kg,5.64 kg,1.6,109,37.5*,49.22
2+1/2,245,41.3,124,73.0,105,104.8,7,190.5,8 Holes,1'',160,1+1/8'' Dia,M27,15.21 kg,8.12 kg,1.6,112,37.5*,58.98
3,240,38.1,127,88.9,102,127.0,7,190.5,8 Holes,7/8'',145,1'' Dia,M24,13.66 kg,5.64 kg,1.6,109,37.5*,73.66
3+1/2,240,38.1,127,88.9,102,127.0,7,190.5,8 Holes,7/8'',145,1'' Dia,M24,12.47 kg,5.64 kg,1.6,109,37.5*,85.44
4,290,44.5,159,114.3,114,157.2,7,235.0,8 Holes,1+1/8'',170,1+1/4'' Dia,M30,22.46 kg,10.88 kg,1.6,121,37.5*,97.18
5,350,50.8,190,141.3,127,185.7,7,279.4,8 Holes,1+1/4'',190,1+3/8'' Dia,M33,36.86 kg,14.48 kg,1.6,134,37.5*,122.24
6,380,55.6,235,168.3,140,215.9,7,317.5,12 Holes,1+1/8'',190,1+1/4'' Dia,M30,48.26 kg,17.44 kg,1.6,147,37.5*,146.36
8,470,63.5,298,219.1,162,269.9,7,393.7,12 Holes,1+3/8'',220,1+1/2'' Dia,M36,83.15 kg,30.22 kg,1.6,169,37.5*,193.7
10,545,69.9,368,273.0,184,323.8,7,469.9,16 Holes,1+3/8'',235,1+1/2'' Dia,M36,120.92 kg,42.0 kg,1.6,191,37.5*,247.7
12,610,79.4,419,323.8,200,381.0,7,533.4,20 Holes,1+3/8'',255,1+1/2'' Dia,M36,161.34 kg,55.32 kg,1.6,207,37.5*,298.5
14,640,85.8,451,355.6,213,412.8,7,558.8,20 Holes,1+1/2'',275,1+5/8'' Dia,M39,183.86 kg,58.15 kg,1.6,220,37.5*,330.2
16,705,88.9,508,406.4,216,469.9,7,616.0,20 Holes,1+5/8'',285,1+3/4'' Dia,M42,222.32 kg,72.61 kg,1.6,223,37.5*,381.0
18,785,101.6,565,457.0,229,533.4,7,685.8,20 Holes,1+7/8'',325,2'' Dia,M48,297.82 kg,132.84 kg,1.6,236,37.5*,431.6
20,855,108.0,622,508.0,248,584.2,7,749.3,20 Holes,2'',350,2+1/8'' Dia,M52,369.86 kg,166.6 kg,1.6,255,37.5*,482.6
24,1040,139.7,749,610.0,292,692.2,7,901.7,20 Holes,2+1/2'',440,2+5/8'' Dia,M64,678.05 kg,345.48 kg,1.6,299,37.5*,584.6
